職缺內容,公司名稱,地址,薪資,網址
Python程式設計師,麟數據科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/6uj6n?jobsource=jolist_d_relevance
後端工程師(Python),台灣幣蜂數位有限公司,台北市內湖區,"月薪60,000~85,000元",//www.104.com.tw/job/7aecq?jobsource=jolist_d_relevance
[高雄] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,高雄市前鎮區,待遇面議,//www.104.com.tw/job/75ae4?jobsource=jolist_d_relevance
Python工程師(PN001),欣創科技有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/6kgjo?jobsource=jolist_d_relevance
Python Software Engineer,hyve solutions_海峰電腦股份有限公司,桃園市龜山區,待遇面議,//www.104.com.tw/job/5tobs?jobsource=jolist_d_relevance
Python Web後端開發工程師,麗寶生醫股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/72tjx?jobsource=jolist_d_relevance
【IT】3D軟體開發工程師(C++、Python),裕榮昌科技股份有限公司台中分公司,台中市太平區,待遇面議,//www.104.com.tw/job/72puc?jobsource=jolist_d_relevance
Python Software Engineer,保誠人壽保險股份有限公司_總公司,台北市信義區,待遇面議,//www.104.com.tw/job/7ceaz?jobsource=jolist_d_relevance
Backend Engineer(需熟Python、RESTful API ),好好證券股份有限公司,台北市中正區,待遇面議,//www.104.com.tw/job/5572i?jobsource=jolist_d_relevance
Python 軟體工程師 - 中階,台灣競遊智慧網路有限公司,台北市中山區,"月薪50,000元以上",//www.104.com.tw/job/7bwhn?jobsource=jolist_d_relevance
Python 程式設計師,綠界科技股份有限公司,台北市南港區,"月薪40,000~60,000元",//www.104.com.tw/job/6p5b1?jobsource=jolist_d_relevance
【新竹/台北】Python 開發工程師 #WFH,集仕多股份有限公司,新竹縣竹北市,待遇面議,//www.104.com.tw/job/7d0rw?jobsource=jolist_d_relevance
python程式開發工程師(新竹),友宏整合行銷有限公司,新竹市,"月薪35,000元以上",//www.104.com.tw/job/6kw07?jobsource=jolist_d_relevance
[派遣至外商軟體龍頭] Python Developer - Python工程師 - 105SL,萬寶華企業管理顧問股份有限公司,新北市板橋區,待遇面議,//www.104.com.tw/job/6ryg7?jobsource=jolist_d_relevance
【彈性工時】後端實習生 Backend Engineer(熟Python、RESTful API ),好好證券股份有限公司,台北市中正區,時薪160~400元,//www.104.com.tw/job/7ckz0?jobsource=jolist_d_relevance
python程式開發工程師(台北),友宏整合行銷有限公司,台北市南港區,"月薪35,000元以上",//www.104.com.tw/job/72tds?jobsource=jolist_d_relevance
Python Engineer (工作地點：新店/板橋),印度商威普羅股份有限公司台灣分公司,新北市新店區,待遇面議,//www.104.com.tw/job/6zocc?jobsource=jolist_d_relevance
資安軟體研發工程師(Python),數聯資安股份有限公司,台北市內湖區,"月薪45,000~70,000元",//www.104.com.tw/job/6qcwt?jobsource=jolist_d_relevance
Python全端工程師,宏佳騰動力科技股份有限公司,新北市板橋區,待遇面議,//www.104.com.tw/job/6s9aa?jobsource=jolist_d_relevance
Python Web Developer,禾立國際開發有限公司,新北市新店區,"月薪55,000~70,000元",//www.104.com.tw/job/789kd?jobsource=jolist_d_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師 (Microsoft),Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,台北市大安區,待遇面議,//www.104.com.tw/job/7bmjs?jobsource=jolist_d_relevance
【實習/工讀】軟體工程師(Java/Python),艾斯移動股份有限公司,台北市大安區,時薪160元,//www.104.com.tw/job/6rj5s?jobsource=jolist_d_relevance
Python Data Engineer/Python 資料工程師,現觀科技股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7bdr9?jobsource=jolist_d_relevance
P7-Python資料工程師,意藍資訊股份有限公司,台北市大安區,"月薪35,000~45,000元",//www.104.com.tw/job/7csnw?jobsource=jolist_c_relevance
python工程師,鈦度科技有限公司,台北市內湖區,"年薪750,000~800,000元",//www.104.com.tw/job/6xglu?jobsource=jolist_c_relevance
(真摯徵求) Python後端工程師,伊諾科技有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/70asp?jobsource=jolist_c_relevance
【電子商務部】Python工程師,積大企業有限公司,新北市汐止區,"月薪30,000~50,000元",//www.104.com.tw/job/6yb7d?jobsource=jolist_c_relevance
Senior Python Developer,奔騰網路科技股份有限公司,台北市中正區,待遇面議,//www.104.com.tw/job/7c3xb?jobsource=jolist_c_relevance
(全職)Web網路平台與App應用服務開發工程師(Python/PHP(Laravel或WP&Woo)/MySQL) [視需要使用視訊面談],環球睿視股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/71f80?jobsource=jolist_c_relevance
新創電商Backend Engineer (Python),霖園關係企業_神坊資訊股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7aenr?jobsource=jolist_c_relevance
python工程師,大拇哥證券投資顧問股份有限公司,台北市大安區,"年薪600,000~1,200,000元",//www.104.com.tw/job/7btly?jobsource=jolist_c_relevance
Backend Engineer (PHP/Python),長佳智能股份有限公司,台中市西區,待遇面議,//www.104.com.tw/job/716px?jobsource=jolist_c_relevance
IT職務類 (實習 Intern): Python programming (一周至少3天) (竹科),"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",新竹市,時薪160元以上,//www.104.com.tw/job/6yi9b?jobsource=jolist_c_relevance
Python後端開發工程師,麥睿資訊股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/6enjd?jobsource=jolist_c_relevance
資深後端工程師（資深php後端願意轉python者歡迎）,鈦度科技有限公司,台北市內湖區,"年薪1,000,000元",//www.104.com.tw/job/706jj?jobsource=jolist_c_relevance
Python (Django、Flask)程式設計師,萊泀有限公司,台南市中西區,"月薪30,000~50,000元",//www.104.com.tw/job/7cs5e?jobsource=jolist_c_relevance
系統部-Python 開發工程師 (可遠距工作/每週進公司開會/全職/限台中) [NO.D5],貸先生資訊平台有限公司,台中市南區,"月薪60,000~75,000元",//www.104.com.tw/job/7bfnv?jobsource=jolist_c_relevance
Python開發工程師(工作地:新竹工業區_湖口),鴻佰科技股份有限公司,新竹縣湖口鄉,"月薪35,000~65,000元",//www.104.com.tw/job/75lyf?jobsource=jolist_c_relevance
副軟體工程師 (Python),美商連科股份有限公司,台北市內湖區,"月薪60,000~75,000元",//www.104.com.tw/job/79qh7?jobsource=jolist_c_relevance
網站開發全端工程師 (Python),台灣智園有限公司,新北市永和區,待遇面議,//www.104.com.tw/job/43gvt?jobsource=jolist_c_relevance
Quality Assurance Engineer (Python) SQA測試工程師,智雲資訊服務有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/7ar21?jobsource=jolist_c_relevance
Python Flask網站開發工程師(台北),紅門互動股份有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/6xtfl?jobsource=jolist_c_relevance
Python 後端工程師 (歡迎應屆畢業生),大慶證券股份有限公司_總管理處,台北市中山區,待遇面議,//www.104.com.tw/job/7bu9e?jobsource=jolist_c_relevance
資訊_資深Python工程師（Senior Python Programmer）,中信金控_台灣人壽保險股份有限公司,台北市南港區,待遇面議,//www.104.com.tw/job/77drj?jobsource=jolist_c_relevance
(後台系統開發)python軟體工程師,紅石資訊有限公司,台北市內湖區,"月薪60,000元以上",//www.104.com.tw/job/7288s?jobsource=jolist_c_relevance
Python工程師  (中和辦公室),昇銳電子股份有限公司,新北市中和區,待遇面議,//www.104.com.tw/job/6zloe?jobsource=jolist_c_relevance
Python後端工程師,光禾感知科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/71j4l?jobsource=jolist_c_relevance
資深後端工程師 Sr. Back-end Engineer ( Python ),創順科技有限公司,台北市內湖區,"月薪80,000~160,000元",//www.104.com.tw/job/5oxur?jobsource=jolist_c_relevance
Android 測試工程師Jave or Python (無經驗可),台灣愛渠西來技術股份有限公司,新北市板橋區,"年薪650,000~1,000,000元",//www.104.com.tw/job/7aiqr?jobsource=jolist_c_relevance
資深後端系統工程師 (Python),美商美創資通股份有限公司台灣分公司,台北市中山區,待遇面議,//www.104.com.tw/job/4mfzt?jobsource=jolist_c_relevance
後端工程師 Python Engineer,全富數位有限公司,台中市北區,"月薪50,000~120,000元",//www.104.com.tw/job/6izvs?jobsource=jolist_c_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,台北市大安區,待遇面議,//www.104.com.tw/job/73xzq?jobsource=jolist_c_relevance
軟體工程師 (Python),美商連科股份有限公司,台北市內湖區,"月薪70,000~105,000元",//www.104.com.tw/job/5t1rj?jobsource=jolist_c_relevance
【台北松山區-可選擇遠端】數位資訊公司- Python開發工程師,台灣英特艾倫人力資源有限公司,台北市松山區,"月薪50,000~80,000元",//www.104.com.tw/job/7aklm?jobsource=jolist_c_relevance
Software Development Engineer (Python) 軟體開發工程師 - Taipei (Req: 4883),美商Fortinet_英屬蓋曼群島商防特網股份有限公司台灣分公司,台北市內湖區,待遇面議,//www.104.com.tw/job/7aq7b?jobsource=jolist_c_relevance
Java/Python/Go 大數據平台工程師,艾得基客行銷顧問股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/6j2dn?jobsource=jolist_c_relevance
"【工業4.0／智慧製造】智能大數據整合工程師（Python）*到職滿6個月，留任獎金最高11,000* -視訊面試",欣興電子股份有限公司,桃園市龜山區,"月薪32,000~70,000元",//www.104.com.tw/job/77jj5?jobsource=jolist_c_relevance
Python工程師,博賢智能科技有限公司,澳門特別行政區,待遇面議,//www.104.com.tw/job/77m2i?jobsource=jolist_c_relevance
資深軟體工程師 (Python),美商連科股份有限公司,台北市內湖區,"月薪90,000~135,000元",//www.104.com.tw/job/5p5ft?jobsource=jolist_c_relevance
Python 後端工程師 (Junior),金冠科技有限公司,台北市大安區,"月薪35,000~60,000元",//www.104.com.tw/job/6lw8b?jobsource=jolist_c_relevance
【電子商務部】 - python/Django 電商軟體開發【實習生】,積大企業有限公司,新北市汐止區,"月薪25,000~30,000元",//www.104.com.tw/job/4ve9a?jobsource=jolist_c_relevance
MyGo-Python資深工程師/資料科學家,MyGo商學苑_平安房屋仲介股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/6yjxf?jobsource=jolist_c_relevance
Python工程師,艾斯移動股份有限公司,台北市大安區,"月薪50,000~80,000元",//www.104.com.tw/job/6nml7?jobsource=jolist_c_relevance
