"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"【系統規劃部數據整合系統科】數據工程師","台新人壽保險股份有限公司_總公司","人身保險業","1.數據蒐集處理及ETL流程設計開發與維護，並針對數據倉儲相關應用(ex:數據標籤)進行開發及維護。
2.Power BI或報表工具維運及優化，並配合專案針對既有報表進行整合及轉換。
3.優化數據架構設計及導入相關技術及工具(如數據治理、數據字典…等)，並協助制定使用技術規範及細則。
4.協助執行相關專案及主管交辦任務。
","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ipku?jobsource=hotjob_chr"")"
"程式設計師 Product Dev Programmer(產品團隊)","神華商業系統股份有限公司","電腦系統整合服務業","零售習慣改變，零售業，物流業與EC電商如何順應時勢，善用神華自行開發的各式軟體，贏得商機。您想了解38年來神華如何完整開發全台最完整之零售業雲端供應鏈解決方案，包含總部營運ERP、倉儲管理WMS、會員管理CRM、電商EC、門市收銀POS、行動進出貨MSO、甚至是貨運車隊管理的TMS等等，並不受地域限制地串流所有的數據資料。

資工/資訊等本科系大學畢業生及碩士生優先錄取。
若您已有相關工作經驗，也歡迎投遞履歷，本公司將視個人學經歷談不同的任用條件。

【工作成就】
●成為核心產品技術團隊之一員，開發最先進的軟體產品功能
●第一手接觸市場需求，提供台灣新零售商用系統技術發展。
●活用所學，國內各大廠商的系統由你驅動。
●了解ERP/POS/CRM/LINE如何幫助企業優化作業流程提升效率及產能。

【工作內容】
●執行全新軟體功能的研究開發。
●參與Agile敏捷開發團隊執行Sprint衝刺開發。
●執行現有產品功能的優化開發。
●進行軟體的功能維護、測試及修改。
●開發文件撰寫及進度更新記錄。
●由團隊會議討論分配指派工作，並與資深產品工程師搭檔coding。

【職涯發展】
●隨著經驗之累積，將依個人所專精產品範疇進行產品功能研究規劃。
●隨著經驗之累積，將升任產品開發經理帶領團隊開發。

【學經歷要求】
● 必須相關資管/資工/資訊軟體開發本科系畢業
● 大學學歷或以上
● 有一兩年經驗者佳。
     薪資依相關能力，學經歷評給。

【其他職缺參考】
本職缺主要為""產品開發團隊""團隊的工程師,
若對於""軟體專案維運導入""有興趣的,可參考以下職缺:
""程式設計師 Programmer (專案團隊)""
https://www.104.com.tw/job/76vyf?jobsource=vipshare&utm_source=vip&utm_medium=share_copy
若對兩個職缺皆有興趣,也可以都投遞,部門主管會根據適合度安排面試

","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/83lkq?jobsource=hotjob_chr"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","替您錄科技股份有限公司(TGC Taiwan, Inc.)","多媒體相關業","我們正在尋找一位熱情且富有才華的資料工程師，加入我們的團隊，協助解決廣告投遞的資料內容。

我們希望你具備以下三大特質：
對資料工程領域有強烈興趣和熱情 。
重視團隊合作，具備良好的溝通能力 。
具有自我學習能力，能夠快速適應新技術。

職責：","台北市松山區","月薪58,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ekil?jobsource=n_my104_search"")"
"科技部 Senior Data Engineer資料工程師(襄理)","麥當勞授權發展商_和德昌股份有限公司","其他餐飲業","援使用單位分析報表和資料應用。
• 開發數據處理程序(ETL)，依據業務邏輯進行數據主題設計、歸納，以支援下游系統數據應用。
• 維護並擴充數據字典(Data Dictionary)，包含業務需求、數據設計規格和數據血緣，以確保對數據解決方案的理解","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ecsa?jobsource=n_my104_search"")"
"[台北] ETL/ 資料分析/ 報表開發/ BI工程師","金上晉科技股份有限公司","金屬表面處理及熱處理業","1. 跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、T-SQL、Store Procedure、Python)。
2. SSAS之規劃、設計、分析、維護。
3. 報表規劃及設計 (SSRS 3年以上經驗、Power BI)。
4. 資料分","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7gnzs?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","電腦軟體服務業","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","電腦軟體服務業","1. 資料倉儲維護與優化
　- 內外部資料整合及收集
　- 資料庫預存程序 (SP) 管理及效能調整

2. 資料清理流程維護及優化
　- 工作流程規劃、建置及維護
　- 具 MSBI (MSSQL/SSIS/SSAS/SSRS/","台北市內湖區","月薪35,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/3o2f1?jobsource=n_my104_search"")"
"數據應用部-資料工程人員","永豐商業銀行股份有限公司","銀行業"," SSIS ETL)
5.專案管理：內外部單位溝通協調、資料導入需求分析確認、技術評估、進度追蹤等
6.資料視覺：Dashboard開發、資料視覺呈現等網頁維護與開發","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87mf8?jobsource=n_my104_search"")"
"【管理服務中心】資料工程師","中華海洋生技股份有限公司","生化科技研發業","1.	設計、開發、維護和管理大量資料的數據倉儲及視覺化報表，以支援業務需求。
2.	資料倉儲程式開發與建置，包括企業邏輯資料處理、數據清洗等
3.	其他主管交辦事項
4.	整合不同來源的資料
5.	協助提高資料質量，並確保資料安全
6.	參與公司","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7n6u2?jobsource=n_my104_search"")"
