"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"【系統規劃部數據整合系統科】數據工程師","台新人壽保險股份有限公司_總公司","人身保險業","1.數據蒐集處理及ETL流程設計開發與維護，並針對數據倉儲相關應用(ex:數據標籤)進行開發及維護。
2.Power BI或報表工具維運及優化，並配合專案針對既有報表進行整合及轉換。
3.優化數據架構設計及導入相關技術及工具(如數據治理、數據字典…等)，並協助制定使用技術規範及細則。
4.協助執行相關專案及主管交辦任務。
","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ipku?jobsource=hotjob_chr"")"
"後端工程師","聚贏有限公司","網際網路相關業","我們在尋找【具備團隊合作精神、勇於接受挑戰、熱愛學習】的後端工程師，負責開發和管理數據處理後端系統、執行流程自動化與系統優化、並與團隊合作完成產品開發。

這裡有高度自由的辦公環境，期待值得信賴、積極學習的你加入，與我們一起解決複雜且有趣的技術挑戰，推動創新的產品開發！

________________________________________________________________________________________

<工作內容>
1. 開發和管理數據收集與處理相關的後端系統。
2. 參與前後端開發，優化資料傳遞與資料處理。
3. 負責工作流程的自動化、流程優化和性能調整。
4. 優化現有產品功能並進行日常維護。
5. 與技術領導合作，執行程式設計任務。


<必要條件>
1. 熟悉 Linux 系統操作。
2. 有架設伺服器，及設定代理、負載平衡、緩衝、緩存等經驗。
3. 精通 Python 與 PHP 開發。
4. 具備 SQL / NoSQL 資料庫的實務經驗（如 MySQL、Redis、MongoDB）。


<加分條件>
1. 具數位行銷經驗者優先，如 SEO、流量創建、轉換優化、A/B 測試等。
2. 具前端技術的實務經驗，如 HTML5、CSS3、JavaScript (ES6+) 及現代 JavaScript 框架（如 React、Vue.js）。
3. 具 Laravel 專案/產品開發經驗，擅長Laravel框架。
4. 有使用容器技術（如 Docker, Kubernetes）的實際經驗。
5. 熟悉 CI/CD流程和工具，具備自動化實務經驗。
6. 對人工智慧技術充滿熱情，積極學習並緊跟行業趨勢。","台北市中正區","月薪50,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8flaz?jobsource=hotjob_chr"")"
"資料倉儲工程師 Data Engineer-集團徵才-數據科技 (數數發中心, DDT)_I00016337","國泰金控_國泰金融控股股份有限公司","金融控股業","比起工作內容，你應該要先認識我們的團隊：
我們是一個正在成長的資料科學團隊，在找有熱情、想接受挑戰、能一起攜手成長前進的夥伴

我們需要這樣的人：
1. 對資料工程領域有興趣 - 想朝這個方向發展，探索資料科學專業
2. 重視團隊合作 - 在團隊","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/88n29?jobsource=n_my104_search"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"數據應用部-資料工程人員","永豐商業銀行股份有限公司","銀行業"," SSIS ETL)
5.專案管理：內外部單位溝通協調、資料導入需求分析確認、技術評估、進度追蹤等
6.資料視覺：Dashboard開發、資料視覺呈現等網頁維護與開發","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87mf8?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","電腦軟體服務業","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"科技部 Senior Data Engineer資料工程師(襄理)","麥當勞授權發展商_和德昌股份有限公司","其他餐飲業","援使用單位分析報表和資料應用。
• 開發數據處理程序(ETL)，依據業務邏輯進行數據主題設計、歸納，以支援下游系統數據應用。
• 維護並擴充數據字典(Data Dictionary)，包含業務需求、數據設計規格和數據血緣，以確保對數據解決方案的理解","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ecsa?jobsource=n_my104_search"")"
"[台北] ETL/ 資料分析/ 報表開發/ BI工程師","金上晉科技股份有限公司","金屬表面處理及熱處理業","1. 跨系統資料梳理及資料倉儲整合(ETL)應用(SSIS、T-SQL、Store Procedure、Python)。
2. SSAS之規劃、設計、分析、維護。
3. 報表規劃及設計 (SSRS 3年以上經驗、Power BI)。
4. 資料分","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7gnzs?jobsource=n_my104_search"")"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","電腦軟體服務業","1. 資料倉儲維護與優化
　- 內外部資料整合及收集
　- 資料庫預存程序 (SP) 管理及效能調整

2. 資料清理流程維護及優化
　- 工作流程規劃、建置及維護
　- 具 MSBI (MSSQL/SSIS/SSAS/SSRS/","台北市內湖區","月薪35,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/3o2f1?jobsource=n_my104_search"")"
"【管理服務中心】資料工程師","中華海洋生技股份有限公司","生化科技研發業","1.	設計、開發、維護和管理大量資料的數據倉儲及視覺化報表，以支援業務需求。
2.	資料倉儲程式開發與建置，包括企業邏輯資料處理、數據清洗等
3.	其他主管交辦事項
4.	整合不同來源的資料
5.	協助提高資料質量，並確保資料安全
6.	參與公司","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7n6u2?jobsource=n_my104_search"")"
