"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"後端工程師","聚贏有限公司","網際網路相關業","我們在尋找【具備團隊合作精神、勇於接受挑戰、熱愛學習】的後端工程師，負責開發和管理數據處理後端系統、執行流程自動化與系統優化、並與團隊合作完成產品開發。

這裡有高度自由的辦公環境，期待值得信賴、積極學習的你加入，與我們一起解決複雜且有趣的技術挑戰，推動創新的產品開發！

________________________________________________________________________________________

<工作內容>
1. 開發和管理數據收集與處理相關的後端系統。
2. 參與前後端開發，優化資料傳遞與資料處理。
3. 負責工作流程的自動化、流程優化和性能調整。
4. 優化現有產品功能並進行日常維護。
5. 與技術領導合作，執行程式設計任務。


<必要條件>
1. 熟悉 Linux 系統操作。
2. 有架設伺服器，及設定代理、負載平衡、緩衝、緩存等經驗。
3. 精通 Python 與 PHP 開發。
4. 具備 SQL / NoSQL 資料庫的實務經驗（如 MySQL、Redis、MongoDB）。


<加分條件>
1. 具數位行銷經驗者優先，如 SEO、流量創建、轉換優化、A/B 測試等。
2. 具前端技術的實務經驗，如 HTML5、CSS3、JavaScript (ES6+) 及現代 JavaScript 框架（如 React、Vue.js）。
3. 具 Laravel 專案/產品開發經驗，擅長Laravel框架。
4. 有使用容器技術（如 Docker, Kubernetes）的實際經驗。
5. 熟悉 CI/CD流程和工具，具備自動化實務經驗。
6. 對人工智慧技術充滿熱情，積極學習並緊跟行業趨勢。","台北市中正區","月薪40,000~65,000元","=HYPERLINK(""http:////www.104.com.tw/job/8flaz?jobsource=hotjob_chr"")"
"資料工程師","雅德思行銷顧問有限公司","廣告行銷公關業","與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

資料工程師主要工作內容","台北市大安區","月薪48,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8ep3f?jobsource=n_my104_search"")"
"科技部 Senior Data Engineer資料工程師(襄理)","麥當勞授權發展商_和德昌股份有限公司","其他餐飲業"," Warehouse)，以支援使用單位分析報表和資料應用。
• 開發數據處理程序(ETL)，依據業務邏輯進行數據主題設計、歸納，以支援下游系統數據應用。
• 維護並擴充數據字典(Data Dictionary)，包含業務需求、數據設計規格和數據血緣，以確保","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ecsa?jobsource=n_my104_search"")"
"資料倉儲工程師 Data Engineer-集團徵才-數據科技 (數數發中心, DDT)_I00016337","國泰金控_國泰金融控股股份有限公司","金融控股業","比起工作內容，你應該要先認識我們的團隊：
我們是一個正在成長的資料科學團隊，在找有熱情、想接受挑戰、能一起攜手成長前進的夥伴

我們需要這樣的人：
1. 對資料工程領域有興趣 - 想朝這個方向發展，探索資料科學專業
2. 重視團隊合作 - 在團隊","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/88n29?jobsource=n_my104_search"")"
"資料工程師","松凌科技股份有限公司","電腦軟體服務業","需要條件:
1.願意學習保險相關知識
2.對SQL有基本的能力


主要工作如下
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市中正區","月薪35,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/79ccc?jobsource=n_my104_search"")"
"904 - 資料倉儲軟體工程師","安泰商業銀行股份有限公司","銀行業","1. 資料倉儲及相關應用系統開發與維運。 
2. 資料產製、整合需求及ETL開發相關作業。 
3. Control-M批次排程作業規劃設計。
4.信用風險資料庫開發與維運。
5. 整合數據應用解決方案。

※本職缺歡迎身障人士主動投遞履歷應徵","台北市信義區","月薪32,000~65,000元","=HYPERLINK(""http:////www.104.com.tw/job/7z6yf?jobsource=n_my104_search"")"
"數據應用部-資料工程人員","永豐商業銀行股份有限公司","銀行業"," SSIS ETL)
5.專案管理：內外部單位溝通協調、資料導入需求分析確認、技術評估、進度追蹤等
6.資料視覺：Dashboard開發、資料視覺呈現等網頁維護與開發","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87mf8?jobsource=n_my104_search"")"
"ETL軟體工程師","雙子數位科技有限公司","電腦軟體服務業","嗨～～哈囉～

你是本公司要找的ETL資料倉儲高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在ETL數據實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 收集需求和業務流程知識，以便將資料轉換為方式，以滿足最終用戶的需求。","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/758vi?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","替您錄科技股份有限公司(TGC Taiwan, Inc.)","多媒體相關業","我們正在尋找一位熱情且富有才華的資料工程師，加入我們的團隊，協助解決廣告投遞的資料內容。

我們希望你具備以下三大特質：
對資料工程領域有強烈興趣和熱情 。
重視團隊合作，具備良好的溝通能力 。
具有自我學習能力，能夠快速適應新技術。

職責：","台北市松山區","月薪58,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ekil?jobsource=n_my104_search"")"
"資料工程師 Data Engineer【聯想感】","股感資訊股份有限公司","網際網路相關業","1. 收集和整合各種資料來源，建立高效的資料架構。
2. 設計和實現數據管道和 ETL 流程。
3. 實現數據庫的優化和管理。
4. 解決數據處理中出現的問題。","台北市松山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8fxa1?jobsource=n_my104_search"")"
