"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"程式設計師 Programmer(擴編)","神華商業系統股份有限公司","電腦系統整合服務業","零售習慣改變，零售業，物流業與EC電商如何順應時勢，善用神華自行開發的各式軟體，贏得商機。您想了解37年來神華如何完整開發全台最完整之零售業雲端供應鏈解決方案，包含總部營運ERP、倉儲管理WMS、會員管理CRM、電商EC、門市收銀POS、行動進出貨SOP、甚至是貨運車隊管理的TMS等等，並不受地域限制地串流所有的數據資料。

資工/資訊等本科系大學畢業生及碩士生優先錄取。
若您已有相關工作經驗，也歡迎投遞履歷，本公司將視個人學經歷談不同的任用條件。

【工作成就】
●了解零售業與流通業ERP/POS/CRM/EC的架構與知識.
●參與倉儲管理系統WMS發展的進程

【工作內容】
●協助系統專案維運
●負責軟體程式維護與撰寫，並進行軟體的測試與修改
●MS SQL資料庫應用，SQL指令優化及例行維護計畫應用
●由主管分配指派工作，與資深System Engineer 搭檔coding

【職涯發展】
●隨著經驗之累積，將隨個人所專精領域可發展成該領域之專案管理師，或系統顧問

【學經歷要求】
●相關本科系畢業
●最低大學學歷
●有一兩年經驗者佳。
    薪資依相關能力，學經歷評給。

【其他職缺參考】
本職缺主要為""軟體專案維運導入""團隊的工程師,
若對於產品開發團隊有興趣的,可參考以下職缺:
""程式設計師 Product Dev Programmer""
https://www.104.com.tw/job/83lkq?jobsource=vipshare&utm_source=vip&utm_medium=share_copy
若對兩個職缺皆有興趣,也可以都投遞,部門主管會根據適合度安排面試



","台北市信義區","月薪38,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/76vyf?jobsource=hotjob_chr"")"
"程式設計師 Product Dev Programmer","神華商業系統股份有限公司","電腦系統整合服務業","零售習慣改變，零售業，物流業與EC電商如何順應時勢，善用神華自行開發的各式軟體，贏得商機。您想了解38年來神華如何完整開發全台最完整之零售業雲端供應鏈解決方案，包含總部營運ERP、倉儲管理WMS、會員管理CRM、電商EC、門市收銀POS、行動進出貨MSO、甚至是貨運車隊管理的TMS等等，並不受地域限制地串流所有的數據資料。

資工/資訊等本科系大學畢業生及碩士生優先錄取。
若您已有相關工作經驗，也歡迎投遞履歷，本公司將視個人學經歷談不同的任用條件。

【工作成就】
●成為核心產品技術團隊之一員，開發最先進的軟體產品功能
●第一手接觸市場需求，提供台灣新零售商用系統技術發展。
●活用所學，國內各大廠商的系統由你驅動。
●了解ERP/POS/CRM/LINE/WMS如何幫助企業優化作業流程提升效率及產能。

【工作內容】
●執行全新軟體功能的研究開發。
●執行現有產品功能的優化開發。
●進行軟體的功能維護、測試及修改。
●開發文件撰寫及進度更新記錄。
●由團隊會議討論分配指派工作，並與資深產品工程師搭檔coding。

【職涯發展】
●隨著經驗之累積，將依個人所專精產品範疇進行產品功能研究規劃。
●隨著經驗之累積，將升任產品開發經理帶領團隊開發。

【學經歷要求】
● 必須相關資管/資工/資訊軟體開發本科系畢業
● 大學學歷或以上
●有一兩年經驗者佳。
    薪資依相關能力，學經歷評給。

【其他職缺參考】
本職缺主要為""產品開發團隊""團隊的工程師,
若對於""軟體專案維運導入""有興趣的,可參考以下職缺:
""程式設計師 Programmer(擴編) ""
https://www.104.com.tw/job/76vyf?jobsource=vipshare&utm_source=vip&utm_medium=share_copy
若對兩個職缺皆有興趣,也可以都投遞,部門主管會根據適合度安排面試

","台北市信義區","月薪40,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/83lkq?jobsource=hotjob_chr"")"
"資料工程師","雅德思行銷顧問有限公司","廣告行銷公關業","與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

資料工程師主要工作內容","台北市大安區","月薪48,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8ep3f?jobsource=n_my104_search"")"
"EBS 財務系統暨資料倉儲工程師","三井住友海上集團_明台產物保險股份有限公司_數位科技處","產物保險業","1.各項資料蒐集、盤點與管理，持續優化資料品質並執行改善計畫。
2.資料倉儲ETL設計、開發與維護，改善ETL效能並依各營運需求建立DM。
3.針對各類資料應用場景，與使用者進行需求訪談、系統分析與程式開發。
4. 參與新專案資料架構、分析與執行","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7tise?jobsource=n_my104_search"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","百貨相關業","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"科技部 Senior Data Engineer資料工程師(襄理)","麥當勞授權發展商_和德昌股份有限公司","其他餐飲業"," Warehouse)，以支援使用單位分析報表和資料應用。
• 開發數據處理程序(ETL)，依據業務邏輯進行數據主題設計、歸納，以支援下游系統數據應用。
• 維護並擴充數據字典(Data Dictionary)，包含業務需求、數據設計規格和數據血緣，以確保","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ecsa?jobsource=n_my104_search"")"
"資料工程師","廣晉軟體股份有限公司","電腦系統整合服務業","
需求條件：
1.熟SQL，能獨立作業
2.具二年以上相關經驗

主要工作如下：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ltg0?jobsource=n_my104_search"")"
"資料工程師","松凌科技股份有限公司","電腦軟體服務業","需要條件:
1.願意學習保險相關知識
2.對SQL有基本的能力


主要工作如下
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市中正區","月薪35,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/79ccc?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","替您錄科技股份有限公司(TGC Taiwan, Inc.)","多媒體相關業","我們正在尋找一位熱情且富有才華的資料工程師，加入我們的團隊，協助解決廣告投遞的資料內容。

我們希望你具備以下三大特質：
對資料工程領域有強烈興趣和熱情 。
重視團隊合作，具備良好的溝通能力 。
具有自我學習能力，能夠快速適應新技術。

職責：","台北市松山區","月薪58,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ekil?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","電腦軟體服務業","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"【Ocard顧客經營管家】數據/資料工程師 Data Engineer (擴編招募中)","Ocard_奧理科技股份有限公司","其它軟體及網路相關業","整性、可靠性與效能。
● 資料處理與轉換：開發與管理 ETL（Extract, Transform, Load）流程，將資料從多種來源抽取、清洗並轉換成有用的訊息。
● 資料管道建設：設計並實作資料管道，確保資料能夠從來源順利傳送到分析平台。
●","台北市中山區","年薪580,000~845,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ervj?jobsource=n_my104_search"")"
"【管理服務中心】資料工程師","中華海洋生技股份有限公司","生化科技研發業","1.	設計、開發、維護和管理大量資料的數據倉儲及視覺化報表，以支援業務需求。
2.	資料倉儲程式開發與建置，包括企業邏輯資料處理、數據清洗等
3.	其他主管交辦事項
4.	整合不同來源的資料
5.	協助提高資料質量，並確保資料安全
6.	參與公司","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7n6u2?jobsource=n_my104_search"")"
"資料工程師(資訊策略發展部)_I00017395","國泰綜合證券股份有限公司","證券及期貨業","【工作內容】
1. 負責Hadoop、Spark相關數據湖open source維運以及優化
2. 數據分析、應用之相關程式(Python)開發
3. 負責Airflow維運
4. ETL數據清洗與數據模型程式維運與開發
5. 資料庫規劃、設計及","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8cmdl?jobsource=n_my104_search"")"
"ETL資料工程師","緯德科技股份有限公司 (TechLink Corporation)","電腦軟體服務業","- 熟悉資料庫之SQL語法執行ETL資料轉換作業(ETL Job Developing、IBM DataStage、Informatica PowerCenter、Microsoft SSIS、Trinity)實務經驗1年以上。
- 熟悉資料庫安","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/5e9ei?jobsource=n_my104_search"")"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","電腦軟體服務業","1. 資料倉儲維護與優化
　- 內外部資料整合及收集
　- 資料庫預存程序 (SP) 管理及效能調整

2. 資料清理流程維護及優化
　- 工作流程規劃、建置及維護
　- 具 MSBI (MSSQL/SSIS/SSAS/SSRS/","台北市內湖區","月薪35,000~60,000元","=HYPERLINK(""http:////www.104.com.tw/job/3o2f1?jobsource=n_my104_search"")"
"資料工程師","數解人意科技股份有限公司","電腦軟體服務業","及合作夥伴多元，包括媒體、媒體代理商、整合行銷、公關、品牌、電子商務、影視產業、政府單位、學術機構及跨國企業等。


▋職務內容
1. 讀取與寫入自建之全文搜尋引擎、SQL 資料庫
2. 使用 ETL 管理工具如 Airflow，開發 ETL","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/85lh8?jobsource=n_my104_search"")"
"數據應用部-資料工程人員","永豐商業銀行股份有限公司","銀行業"," SSIS ETL)
5.專案管理：內外部單位溝通協調、資料導入需求分析確認、技術評估、進度追蹤等
6.資料視覺：Dashboard開發、資料視覺呈現等網頁維護與開發","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87mf8?jobsource=n_my104_search"")"
"資料工程師 (BI)","聯合通商電子商務股份有限公司","電腦軟體服務業","(本職務主要為技術工作而非單純的數據分析)
1.  商業智慧(BI)專案需求訪談、系統分析並製作系統需求規格書文件
2.  撰寫整合測試計畫書、測試案例、準備測試資料及測試
3.  Metadata 中介層設計、Dashboard、Report設","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/37tef?jobsource=n_my104_search"")"
"ETL軟體工程師","雙子數位科技有限公司","電腦軟體服務業","嗨～～哈囉～

你是本公司要找的ETL資料倉儲高手嗎?
就是你！別懷疑！！徵的就是你～
本公司需要有在ETL數據實務上2-3年以上開發經驗的你唷～

此職缺的職務內容有：

• 收集需求和業務流程知識，以便將資料轉換為方式，以滿足最終用戶的需求。","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/758vi?jobsource=n_my104_search"")"
"資料分析工程師 Analytics Engineer (Data) [RD]","酷遊天股份有限公司","旅遊服務業","財務等。
 

【我們期待你具備】
1. 具備 2 年以上在資料領域擔任資料分析師、資料工程師或同等職位。
2. 能直接面對需求單位，具備細心、耐心、清晰的邏輯思維與簡報能力。
3. 熟悉 Python/SQL 開發資料操作與分析程式能力，並具有","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8aott?jobsource=n_my104_search"")"
"5I新光投信-資深應用程式設計師","新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信)","金融控股業","主要工作項目
1.投信基金事務系統維運與需求開發
2.境外基金系統維運
3.主管交辦之專案管理及開發
4.小組職務代理
本公司使用博暉科技之系統，熟悉博暉系統架構者尤佳。
若熟悉投信基金會計系統、投資管理系統維運及開發，或對自己C#開發技術有自信、有投信工作經驗者也歡迎應徵！","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/72ky8?jobsource=hotjob_chr"")"
"【研究發展處】Big Data Engineer 資料工程師 / Senior Big Data Engineer 資深資料工程師","現觀科技股份有限公司","電腦軟體服務業","Dashboard Visualization，並與產品開發團隊進行資料探勘及研究。

[工作內容]
1.開發大數據系統資料處理平台
2.串流資料平行處理程序開發,熟悉分散式運算,平行運算
3.解決大量資料處理時所衍生的效能,擴充與維護維運資料庫","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7bdqr?jobsource=n_my104_search"")"
